"station","Sobs","Spred"
"158_SRF",47,54
"188_SRF",516,608
"194_SRF",319,348
"194_DCM",383,365
"168_DCM",95,160
"206_SRF",300,447
"191_SRF",245,366
"180_DCM",372,718
"196_SRF",290,406
"173_SRF",422,422
"178_SRF",95,129
"189_SRF",177,457
"209_SRF",371,382
"193_SRF",252,496
"189_DCM",209,453
"208_SRF",147,156
"155_SRF",75,115
"180_SRF",154,276
"205_SRF",541,746
"158_DCM",72,52
"155_DCM",33,19
"163_SRF",33,147
"210_SRF",179,234
"175_SRF",247,854
"168_SRF",83,157
"188_DCM",386,669
"201_SRF",234,226
"201_DCM",577,542
"072_SRF",46,33
"072_DCM",50,19
"030_SRF",72,55
"025_SRF",154,144
"025_DCM",184,140
"102_SRF",250,163
"102_DCM",314,207
"023_SRF",179,116
"023_DCM",56,109
"018_SRF",88,49
"030_DCM",53,31
"018_DCM",151,92
"068_SRF",88,56
"066_SRF",217,175
"065_SRF",359,203
"034_SRF",157,75
"034_DCM",171,87
"082_SRF",358,273
"007_SRF",94,87
"084_SRF",308,330
"076_SRF",39,37
"076_DCM",40,35
"031_SRF",71,32
"033_SRF",60,24
"042_SRF",77,45
"042_DCM",101,47
"070_SRF",92,53
"007_DCM",115,85
"038_SRF",33,19
"038_DCM",86,44
"032_SRF",95,47
"098_SRF",32,22
"032_DCM",144,55
"011_SRF",81,28
"020_SRF",83,87
"098_DCM",46,21
"022_DCM",184,182
"022_SRF",185,151
"024_SRF",159,110
"026_SRF",159,112
"039_DCM",289,189
"039_SRF",313,204
"111_DCM",111,91
"111_SRF",146,124
"122_DCM",302,212
"122_SRF",324,223
"109_SRF",117,87
"123_DCM",119,66
"109_DCM",132,120
"123_SRF",196,137
"124_SRF",127,83
"125_SRF",86,66
"106_DCM",197,115
"106_SRF",173,106
"010_DCM",46,16
"041_SRF",93,85
"010_SRF",22,15
"110_SRF",176,128
"126_SRF",117,93
"127_DCM",181,111
"067_SRF",92,136
"127_SRF",203,143
"128_DCM",144,100
"128_SRF",114,75
"129_DCM",76,47
"129_SRF",98,47
"012_DCM",50,23
"012_SRF",24,22
"130_SRF",42,30
"131_DCM",96,47
"131_SRF",84,64
"064_SRF",291,154
"132_SRF",26,23
"133_SRF",23,20
"135_DCM",92,63
"135_SRF",139,101
"137_DCM",49,28
"064_DCM",348,187
"137_SRF",38,33
"138_DCM",36,18
"140_SRF",214,213
"144_SRF",206,74
"145_SRF",159,125
"014_SRF",66,56
"017_DCM",62,37
"017_SRF",14,9
"019_SRF",3,2
"021_SRF",25,23
"052_SRF",79,63
"043_SRF",170,150
"046_SRF",229,198
"050_SRF",33,23
"051_DCM",88,23
"051_SRF",42,24
"053_SRF",55,30
"054_SRF",119,92
"057_SRF",226,83
"058_DCM",95,33
"058_SRF",98,39
"052_DCM",117,63
"062_SRF",72,22
"071_SRF",45,15
"080_DCM",185,119
"080_SRF",183,152
"081_DCM",61,48
"081_SRF",58,49
"083_SRF",121,156
"085_DCM",117,176
"085_SRF",244,400
"086_SRF",568,445
"100_SRF",118,137
"087_SRF",754,492
"088_SRF",684,502
"089_SRF",139,63
"008_DCM",49,28
"008_SRF",33,30
"090_SRF",23,9
"091_SRF",78,121
"092_SRF",67,58
"093_DCM",75,78
"100_DCM",177,175
"093_SRF",57,51
"094_SRF",40,42
"095_SRF",33,21
"096_SRF",12,13
"097_SRF",11,13
"099_SRF",28,17
"132_DCM",57,26
"133_DCM",29,14
"036_SRF",233,220
"136_SRF",31,18
"138_SRF",22,13
"139_SRF",229,177
"141_SRF",252,165
"142_DCM",148,102
"142_SRF",99,42
"143_DCM",63,23
"143_SRF",39,15
"041_DCM",195,109
"036_DCM",185,197
"146_SRF",51,31
"147_SRF",40,21
"148_SRF",56,22
"149_SRF",62,23
"045_SRF",21,14
"150_DCM",105,43
"150_SRF",99,45
"151_DCM",49,31
"151_SRF",64,23
"152_SRF",55,21
"047_DCM",119,40
"047_SRF",69,29
"049_SRF",242,92
"078_SRF",96,46
"078_DCM",72,23
